epoch,train_loss,train_psnr,train_ssim,train_budget,grid_avg_psnr,grid_avg_ssim,mono_score
1,0.082785,23.2542,0.735356,0.366472,25.7527,0.8119,0.0000
2,0.044104,26.4940,0.833991,0.110460,27.6624,0.8564,0.0000
3,0.033452,27.5971,0.868115,0.012638,28.0030,0.8779,0.0000
4,0.029124,28.0168,0.885539,0.006414,28.0058,0.8949,0.0000
5,0.024731,28.8682,0.902219,0.004527,29.3213,0.9115,0.0000
6,0.575011,12.6662,0.359183,0.116278,8.8290,0.2214,1.0000
7,0.655156,9.7980,0.269130,0.081928,7.3652,0.1941,1.0000
8,0.701960,8.5245,0.245096,0.051841,7.3723,0.1948,1.0000
9,0.724576,8.3364,0.237529,0.037701,7.3542,0.1947,1.0000
